genre_ids,origin_country,original_language,popularity,vote_average,vote_count,year
"[10759, 10765, 16]",['US'],en,29.9242,8.5,2194,2008.0
[10766],['GB'],en,26.8234,5.416,113,1960.0
"[18, 10751]",['US'],en,24.113,7.6,204,2002.0
"[18, 10751, 35, 10759, 10766]",['IN'],hi,26.4051,9.0,4,2018.0
"[10765, 18]",['US'],en,33.4282,7.638,2286,2021.0
[35],['US'],en,30.2785,8.3,1205,2005.0
"[10759, 10765, 18]",['JP'],ja,28.2949,6.4,89,1971.0
"[10759, 18]",['US'],en,28.2482,7.1,147,1968.0
[10764],['CN'],zh,26.0091,0.0,0,2010.0
[18],['US'],en,28.7517,7.1,98,1972.0
"[35, 10767]",['US'],en,27.8692,6.0,226,2003.0
"[10759, 18, 10768]",['GB'],en,29.1382,8.255,1855,2015.0
"[16, 35]",['JP'],ja,27.8601,4.0,1,2025.0
"[16, 35, 10765]",['US'],en,27.3752,8.5,2939,2010.0
[99],['CN'],zh,23.1703,10.0,2,2020.0
[18],['US'],en,27.1121,8.9,41,2025.0
[18],['US'],en,27.5374,7.5,787,2013.0
[10764],['CN'],zh,27.9378,7.1,7,2022.0
"[10765, 35, 18, 10759]",['US'],en,27.8942,8.1,1870,1997.0
"[35, 10764]",['CN'],zh,25.5644,5.8,9,2014.0
"[10759, 37, 10751]",['US'],en,27.632,7.0,48,1958.0
"[10765, 35, 10751, 18]",['US'],en,28.2874,7.9,703,1964.0
[18],['US'],en,28.8158,8.265,523,1999.0
"[18, 10759, 80]",['US'],en,28.0172,7.729,876,1985.0
"[35, 10763]",['US'],en,29.5539,7.0,459,1975.0
"[80, 18, 9648]",['GB'],en,30.0059,7.4,162,2011.0
"[18, 9648, 10765]",['US'],en,27.1209,8.069,2613,2015.0
[99],['US'],en,29.4609,7.7,22,1984.0
"[18, 80]",['CA'],en,27.6108,8.4,105,2019.0
"[10763, 35]",['US'],en,28.1689,6.9,282,2005.0
[10764],['KR'],ko,23.3094,5.8,8,2011.0
[99],['GB'],en,29.7668,5.2,16,2006.0
"[80, 18, 9648]",['US'],en,28.8008,8.424,13598,2017.0
"[18, 35]",['US'],en,33.3456,8.373,2039,2020.0
"[10759, 18, 80]",['US'],en,28.7024,8.2,24,2025.0
"[18, 10751, 10766]",['TR'],tr,28.8246,5.8,9,2019.0
[35],['US'],en,26.1671,8.002,1892,2009.0
"[18, 10766]",['US'],en,29.2558,7.3,773,1990.0
